seq,abs_rel,mae,rmse,rmse_log,d1,d2,d3,n_frames,n_pix
St_1,0.7474842,0.023820931,0.029829184,1.5145026,0.0001436095402425577,0.007065848956182408,0.024988963762442206,399,147162925
St_7,0.7148931,0.018799098,0.022570046,1.3713838,0.0024950281349515797,0.013398178907479377,0.03793431717846539,400,84958561
St_14,0.7428482,0.022494633,0.028067881,1.4857788,0.00011076036152910974,0.0041064062331970085,0.020273726205086242,400,125107934
St_24,0.73482996,0.021828018,0.027308611,1.458839,0.0022102007202363405,0.0089721172375695,0.02743670627028396,400,142977512
St_28,0.59355986,0.011183275,0.0144406445,1.0271566,0.018302708610761623,0.07724007521831547,0.1877704087200641,399,88873567
